CaseNumber,Make,Model,Year,LicenseState,Death,Speeding,SpeedLimit,RoadConditions,Violation
60178,Subaru,Legacy/Outback(prior to 2003 only; see 045 for 2003 on),2014,No Driver Present/Unknown if Driver Present,0,No Driver Present/Unknown if Driver Present,70,Wet,No Driver Present/Unknown if Driver Present
60179,Dodge,Ram Pickup,2001,California,0,No,65,Dry,None
60180,Yamaha,350-449cc,2016,California,1,No,45,Dry,None
60181,GMC,Fullsize Jimmy/Yukon,2004,California,1,"Yes, Too Fast for Conditions",25,Dry,None
60182,Nissan/Datsun,810/Maxima,2002,California,1,No,70,Dry,None
60183,Chevrolet,Other (light truck),1973,California,0,No,55,Dry,None
60185,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2017,California,1,"Yes, Too Fast for Conditions",70,Dry,Manslaughter or homicide
60185,Honda,"Accord (Note: For Crosstour model years 2010 and 2011 only. For Crosstour model years 2012-2015, see vehicle model 37-405)",2017,California,1,"Yes, Too Fast for Conditions",70,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60185,Freightliner,Medium/Heavy - CBE,2012,Iowa,0,No,70,Dry,None
60186,Hyundai,Sonata,2014,California,0,No,40,Dry,None
60187,Ford,Fusion,2015,California,0,"Yes, Too Fast for Conditions",65,Dry,Driving while intoxicated (alcohol or drugs) or BAC above limit (any detectable BAC for CDLs)
60187,Honda,"Civic/CRX, del Sol",2007,California,1,No,65,Dry,None
60188,Acura,Integra,1994,California,1,"Yes, Too Fast for Conditions",55,Wet,None
60189,Toyota,Corolla,2002,California,1,No,55,Dry,None
60189,GMC,"C, K, R, V-series pickup/     Sierra",1999,California,0,No,55,Dry,None
60190,Chrysler,300M/300/300C/300S,2005,California,1,No,65,Dry,None
60191,KIA,Soul,2015,California,1,No,55,Dry,None
60191,International Harvester/Navistar,Medium/Heavy - CBE,2014,California,0,No,55,Dry,None
60191,Ford,F-Series pickup,2006,California,0,No,55,Dry,None
