CaseNumber,State,County,City,Lat,Long,Year,Month,MonthName,Day,WeekDay,Hour,Function,Route,Fatalities,People,Pedestrian,Vehicle_total,Vehicle_ord,DrunkDriver,CollisionType,LightConditions,Deadly
61669,California,ORANGE,WESTMINSTER,33.74688056,-117.9894167,2019,6,June,9,Sunday,4,Principal Arterial - Other,State Highway,1,1,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,1
61670,California,LOS ANGELES,INGLEWOOD,33.949075,-118.3525639,2019,7,July,12,Friday,11,Principal Arterial - Other,Unknown,1,4,0,2,Double,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,0.25
61671,California,PLUMAS,NOT APPLICABLE,39.87770556,-121.1721333,2019,9,September,2,Monday,12,Major Collector,Unknown,1,1,0,2,Double,1,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,1
61672,California,SACRAMENTO,NOT APPLICABLE,38.63935278,-121.2779972,2019,8,August,12,Monday,6,Principal Arterial - Other,Unknown,1,4,0,2,Double,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dawn,0.25
61673,California,LOS ANGELES,LOS ANGELES,34.02153611,-118.3608222,2019,5,May,15,Wednesday,18,Principal Arterial - Other,Unknown,1,2,0,2,Double,0,Angle ,Daylight,0.5
61674,California,MERCED,NOT APPLICABLE,37.084575,-121.1867667,2019,9,September,17,Tuesday,9,Principal Arterial - Other,State Highway,1,1,0,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,1
61675,California,LOS ANGELES,LONG BEACH,33.81044444,-118.1596583,2019,7,July,24,Wednesday,23,Interstate,Interstate,1,2,1,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,0.5
61676,California,SAN DIEGO,NOT APPLICABLE,32.90554444,-116.9410222,2019,9,September,22,Sunday,7,Minor Arterial,State Highway,1,1,0,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,1
61677,California,KINGS,NOT APPLICABLE,36.07258889,-120.0663167,2019,9,September,13,Friday,19,Major Collector,County Road,1,1,0,1,Single,0,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,1
61678,California,LOS ANGELES,NOT APPLICABLE,34.29934444,-117.839825,2019,8,August,14,Wednesday,11,Minor Arterial,State Highway,1,3,0,2,Double,0,Front-to-Front,Daylight,0.333333333
